Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
wu101,0.318859764375313,0,0,0,0.0651478221486237,0,0,0,0.351222834191842,0,0.140721445896297,0,0,0.0404150564178717,0,0,0.0197634326568839,0,0.0638696443131685,0,0,0,0.998,-0.106043016493431,1.19410634968459
wu103,0.0966279512176266,0,0,0,0.150495276634859,0.163258373265145,0.189616500602158,0,0.00162361772610235,0,0.101295379974294,0,0.0827501510818383,0,0,0.0817847731841207,0.00134696461318094,0.0148281245144441,0.0657518678203864,0,0.050621019365845,0,0.998,-0.0957858763011174,1.12491554684612
wu106,0.250468056051419,0,0.0155481202610033,0.0186102625430451,0,0.154584717635715,0,0.00881025823802394,0.103137005769236,0,0.00272849237284732,0,0.0647874830303025,0.0388115193295023,0,0.0276918236879617,0,0.0889185998720396,0.225903661208904,0,0,0,0.984,-0.0560078095990636,1.12790799164701
wu112,0.263033180993635,0,0,0.103735413081051,0,0.197187029281924,0.0946371408393468,0,0,0,0,0.0293056671572764,0.179845270284416,0,0,0.0456077432158037,0,0.0476429469512906,0.0191336792315616,0.00221230841844695,0.017659620545248,0,0.802,0.00264043245905812,1.10572456280976
wu113,0.118867719390913,0,0.0766910747111494,0,0,0.0856483452041275,0,0.115575142183108,0.0936416763353878,0,0.167162874624619,0,0.057190790260412,0,0,0.150072886176572,0,0.0687711920059927,0.0224166732299365,0,0.0439616258777812,0,0.706,0.0250427573330461,1.07485481657421
wu114,0.141940659870879,0,0,0,0,0.235443567191272,0,0,0,0,0.152078495967802,0,0.035348973610581,0.0198642402534292,0,0.248962073973036,0,0.115975033976814,0.0159445287961467,0,0.0344424263600402,0,0.992,-0.0759507454023541,1.12986681210442
wu115,0.306701905605313,0,0,0,0,0.165115832155152,0,0,0,0,0.214595003314091,0,0.0309057552251332,0,0,0.0952215074175266,0,0.0490076750674715,0.138452321215313,0,0,0,0.998,-0.109352905187,1.16508488320032
wu118,0.370577052042144,0,0,0.0620599127582976,0,0.137021809423364,0,0.105410952663974,0.0702143254191975,0,0.158652072955294,0,0.0620037239052428,0,0,0,0.0064524902700272,0.0264003377054816,0,8.47915198637953e-05,0,0.00112253133711287,0.99,-0.0658518359217446,1.18430196311189
wu119,0.171871706374957,0,0.0189496210769144,0,0.0412157260025511,0.417627186614693,0,0,0.131671576629845,0,0.0685989041260719,0,0.0107987182107331,0,0.00318514972961178,0.0800350510331928,0,0,0.0454610416216703,0,0,0.0105853185797598,0.998,-0.110465382143153,1.19592298571401
wu120,0.0648155167335355,0,0,0,0.00283068937993995,0.0495847210531656,0.0403455095135716,0,0,0,0.00998240049762319,0.000570693736046773,0,0.394400061996751,0,0.289047963975473,0,0.0388163058442756,0,0.109606137269618,0,0,0,0.615013604870802,0.794793795358471
wu121,0.17803750418511,0,0.0858231447763158,0.0535232321636862,0.0852985978506471,0.11890134867846,0.074178250151102,0,0,0,0.173774213637055,0,0.0386110548310239,0.0450836313882273,0,0.0197440355604778,0,0.0379180561810441,0.0891069305968511,0,0,0,0.992,-0.0778747113203305,1.12530098580925
wu122,0.0503968189849051,0,0,0,0,0.150007764676216,0,0.0531473290119125,0,0,0.110896309920693,0,0.0733173105608865,0,0,0.301874417372588,0,0.193211087037625,0.0671489624351735,0,0,0,0.998,-0.0925845844152066,1.13297185433734
wu123,0.300859671904729,0,0.0170303649752349,0.0281460693927028,0.0525626986416281,0.209885933943369,0.111231746226592,0,0,0,0.0416318620495943,0.00450905386366659,0.0543871189508454,0,0,0.000457122705358752,0,0,0,0.150377270628711,0.0289210867175673,0,0.874,-0.0140375858028589,1.12068844647369
wu124,0.193605290497501,0,0,0,0.147750600139123,0.0664765246269493,0,0,0.0354675476235032,0,0.194122300441772,0,0.0274711560478557,0,0,0.133366522868153,0,0.0394761033383933,0.16226395441675,0,0,0,0.996,-0.0883457344738186,1.13940158848712
wu125,0.294700025067823,0,0.0506771570865839,0.189705999001903,0,0.0762743225263883,0,0.0603006668517235,0.170303767791869,0,0.0680661955270238,0,0,0.000300852121124621,0,0.0183367583583292,0,0,0.0713342556672313,0,0,0,0.996,-0.0894429951753402,1.18130861830934
wu126,0.107443069752113,0,0.0323902023956538,0.17118056969806,0,0.115449164661902,0.065718575112038,0,0,0,0,0,0.0512178228841051,0.03819941043291,0,0.181505103847762,0,0.0528183917605848,0.146654356236307,0,0.0374233332185646,0,0.468,0.0661106817212477,1.05485263767184
wu127,0.219044237085733,0,0.0280343875402609,0.0694266414809915,0.104157501134119,0.192334500668232,0,0,0,0,0.111885439762139,0,0.0460618099499599,0.0712744827228046,0.0459505049406784,0.00935101972280023,0,0,0.0993466612163878,0,0.00313281377589466,0,0.998,-0.113499427743371,1.15830255414302
wu128,0.233638911877061,0,0,0.0887519039378142,0.0351011045160072,0.0190874729063591,0.255949781290329,0,0,0,0.168810369519888,0,0.0400352350475414,0.0768382975596079,0,0,0,0.0319897676333411,0.0497971557120509,0,0,0,0.776,0.00773773025797286,1.09232802277233
wu129,0.114167057050236,0,0,0.00648464782089847,0.0261865201693947,0.0530995251586466,0,0,0.0141913437137553,0,0.16631809925552,0,0.07692545773118,0,0,0.0794789710393413,0,0.113090346732302,0,0.243704275400105,0.10635375592862,0,0.866,-0.0119521699935712,1.11255725903041
wu130,0.195088489467589,0,0.0143455856962777,0.0957705583731921,0.0556973071735413,0.0810831296516062,0.151336361342713,0.0567871136212021,0,0,0.103109594814208,0,0.0569355590746985,0.013159105236566,0.01167261838535,0.127278715316712,0,0,0.0377358618463438,0,0,0,0.578,0.0476077070114986,1.07107385297267
wu131,0.321402439726067,0,0,0,0.0825751826306305,0.292929457343514,0,0,0,0,0.0383892606928785,0.00519194922003065,0.0067775189655444,0.0268545113066364,0,0.0550552187311068,0.00399052315271013,0,0.150703987887004,0,0.0161299503438782,0,0.974,-0.0517958900473034,1.15390149155912
wu132,0.10066328960576,0,0,0,0,0.213823778814579,0,0,0.027635372872104,0,0.160052593909885,0,0.0864955676766864,0.00511920464788448,0,0.292820278607931,0.0289123630969723,0.00895619594055629,0.0707325790724104,0,0.00478877575523088,0,0.752,0.0138991037012828,1.09544077442168
